orf_name,hours,n,normalized_cs,q_cs,effect_cs,exp_id,exp_environment
YBL005W,34,4,0.850963,0.000755,decreased,28,"N+, C+"
YBL005W,34,4,0.854462,0.000892,decreased,31,"N+, C++"
YBL005W,34,4,0.888474,0.001045,decreased,33,"N++,C++"
YBL005W,35,4,0.88288,0.004489,decreased,91,"N++,C+"
YBL005W,58,4,0.879846,0.001182,decreased,93,"N-,C++"
YBL006C,34,6,0.964603,0.00081,decreased,28,"N+, C+"
YBL006C,34,6,0.96805,0.000892,decreased,31,"N+, C++"
YBL006C,34,6,0.964569,0.001045,decreased,33,"N++,C++"
YBL006C,35,6,0.972398,0.001731,decreased,91,"N++,C+"
YBL006C,58,6,0.969666,0.003894,decreased,93,"N-,C++"
YBL007C,34,4,0.931272,0.000785,decreased,28,"N+, C+"
YBL007C,34,4,0.949801,0.058417,unchanged,31,"N+, C++"
YBL007C,34,4,0.905311,0.001045,decreased,33,"N++,C++"
YBL007C,35,4,0.938937,0.02029,unchanged,91,"N++,C+"
YBL007C,58,4,0.959091,0.008457,decreased,93,"N-,C++"
YBL008W,34,4,1.022203,0.188976,unchanged,28,"N+, C+"
YBL008W,34,4,1.005565,0.069479,unchanged,31,"N+, C++"
YBL008W,34,4,0.981398,0.005506,unchanged,33,"N++,C++"
YBL008W,35,4,1.012307,0.197898,unchanged,91,"N++,C+"
