"orf_name","colony_id","colony_size"
"YHR065C",201376,0.99454
"YDL119C",201377,0.993312
"YPL146C",201378,0.923749
"YGL146C",201379,1.035224
"YGL090W",201380,1.071333
"YNL063W",201381,0.976285
"YCL014W",201382,0.982758
"YNL330C",201383,0.982889
"YNL245C",201385,0.989945
"YOR166C",201386,0.955022
"YDR492W",201387,0.958469
"YGR165W",201388,0.997243
"YNL009W",201389,0.954434
"YBR245C",201390,0.949506
"YMR042W",201391,0.933414
"YHL034C",201392,0.851955
"YNL315C",201393,0.992808
"YOR166C",201394,0.940965
"YGL081W",201395,0.971366
"YGR180C",201396,0.991541
"YNL071W",201397,0.97021
"YMR219W",201398,0.531978
"YMR070W",201399,0.995327
"YDR195W",201400,0.894648
"YNL303W",201401,1.04807
"YPL277C",201402,0.988537
"YGL136C",201403,0.970716
"YCR004C",201414,0.984545
"YLR355C",201415,0.989534
"YDL066W",201416,0.974827
"YDR476C",201417,0.943966
"YJL016W",201418,0.973559
"YGL077C",201419,0.970137
"YML116W-A",201421,1.018336
"YBR263W",201422,1.069495
"YFR051C",201423,0.979523
"YHR176W",201424,0.99152
"YBR106W",201425,0.988625
"YGR273C",201426,0.851533
"YEL069C",201427,1.003834
"YEL071W",201428,1.040017
"YNL111C",201429,1.03971
"YLR121C",201430,1.019896
"YHR139C",201431,0.990875
"YMR062C",201432,1.002547
"YLL041C",201433,0.989617
"YHR093W",201434,0.965916
"YDR481C",201435,0.988991
"YHR038W",201436,0.992117
"YKL170W",201437,0.963603
"YCL004W",201438,1.000176
"YGR135W",201439,0.964162
"YOL041C",201440,0.983131
"YLR008C",201441,1.039379
"YHR100C",201442,1.077468
"YDR536W",201443,0.907406
"YHR070W",201444,0.778479
"YBR191W",201446,1.035316
"YFL016C",201447,0.646056
"YPR131C",201448,1.011479
"YLR046C",201449,0.994748
"YGL095C",201451,0.989218
"YNL169C",201452,1.07701
"YGR242W",201453,1.037349
"YML115C",201454,0.994122
"YGR027C",201455,0.976055
"YKL144C",201456,0.969737
"YLR254C",201457,0.9643
"YLR350W",201458,1.109441
"YGL110C",201459,0.829489
"YPL124W",201460,0.843312
"YBL108W",201461,0.986363
"YNL075W",201462,1.019848
"YLR348C",201463,0.91181
"YMR133W",201464,0.980506
"YLR329W",201465,0.951543
"YHR140W",201466,1.001935
"YEL065W",201467,0.964887
"YCR068W",201478,0.975916
"YGL094C",201479,0.887037
"YMR080C",201480,0.914038
"YML004C",201481,0.942196
"YDR377W",201482,0.962783
"YAL038W",201483,0.948916
"YBR042C",201484,1.020263
"YDR063W",201485,1.036528
"YCL038C",201486,1.011187
"YDR074W",201487,0.969027
"YJL074C",201488,0.945721
"YLR361C",201489,0.984511
"YGR104C",201491,1.04346
"YNL208W",201493,0.998386
"YDR403W",201494,0.969288
"YIL132C",201495,1.053525
"YMR080C",201496,0.481031
"YLR368W",201497,1.029924
"YPR100W",201498,1.045054
"YGL252C",201499,0.995697
"YPR084W",201500,1.03393
"YBR163W",201502,1.075583
"YDR277C",201503,1.014338
"YNL199C",201505,1.02579
"YGR277C",201507,1.036339
"YHR036W",201508,0.975715
"YOR095C",201509,0.98395
"YGR013W",201510,1.001831
"YOR078W",201511,0.998758
"YCR076C",201513,1.006204
"YDR418W",201514,1.026862
"YER019C-A",201515,1.013225
"YPL140C",201516,1.037371
"YER185W",201517,1.025473
"YMR316W",201518,1.060006
"YDL097C",201519,0.941489
"YIR025W",201520,1.023751
"YDL191W",201521,0.954693
"YBR122C",201522,0.977085
"YGL226C-A",201523,0.940632
"YPR158W",201524,0.962267
